pair_id,reference,search,x,y,xmin,ymin,xmax,ymax,scale,rotation,blur,shot_noise,gaussian_noise,charging,seed
1,reference/dram_001_ref.png,search/dram_001_search.png,500.0,500.0,450.0,450.0,550.0,550.0,10.0,0.0,0.4,250.0,3.0,0.0,5001
2,reference/dram_002_ref.png,search/dram_002_search.png,480.0,520.0,430.0,470.0,530.0,570.0,10.0,0.0,0.4,240.0,3.5,0.0,5002
3,reference/dram_003_ref.png,search/dram_003_search.png,529.9485,469.9468,479.6597,419.5576,580.3375,520.2354,9.95,0.1,0.4,260.0,3.0,0.0,5003
4,reference/dram_004_ref.png,search/dram_004_search.png,459.9294,539.931,410.0914,490.093,509.7674,589.769,10.05,-0.1,0.5,230.0,4.0,0.0,5004
5,reference/dram_005_ref.png,search/dram_005_search.png,510.0,490.0,460.0,440.0,560.0,540.0,10.0,0.0,0.4,250.0,3.0,0.0,5005
6,reference/dram_006_ref.png,search/dram_006_search.png,500.0,500.0,445.0549,445.0549,554.9451,554.9451,9.1,0.0,0.4,240.0,3.5,0.0,5006
7,reference/dram_007_ref.png,search/dram_007_search.png,470.0,530.0,417.3684,477.3684,522.6316,582.6316,9.5,0.0,0.5,250.0,4.0,0.0,5007
8,reference/dram_008_ref.png,search/dram_008_search.png,520.0,480.0,470.0,430.0,570.0,530.0,10.0,0.0,0.4,250.0,3.5,0.0,5008
9,reference/dram_009_ref.png,search/dram_009_search.png,450.0,550.0,402.381,502.381,497.619,597.619,10.5,0.0,0.5,230.0,4.0,0.0,5009
10,reference/dram_010_ref.png,search/dram_010_search.png,530.0,460.0,484.1284,414.1284,575.8716,505.8716,10.9,0.0,0.5,220.0,4.5,0.0,5010
11,reference/dram_011_ref.png,search/dram_011_search.png,499.984,500.0155,448.4382,448.4696,551.5299,551.5613,10.0,-1.8,0.4,240.0,3.5,0.0,5011
12,reference/dram_012_ref.png,search/dram_012_search.png,479.6452,519.6566,428.7802,468.7916,530.5102,570.5216,10.0,-1.0,0.5,250.0,4.0,0.0,5012
13,reference/dram_013_ref.png,search/dram_013_search.png,519.7257,479.7157,469.0325,429.0224,570.419,530.4089,10.0,0.8,0.4,230.0,4.0,0.0,5013
14,reference/dram_014_ref.png,search/dram_014_search.png,461.0737,541.0201,409.782,489.7284,512.3654,592.3118,10.0,1.5,0.5,220.0,4.5,0.0,5014
15,reference/dram_015_ref.png,search/dram_015_search.png,538.5968,458.6106,486.8823,406.8961,590.3113,510.3251,10.0,2.0,0.5,210.0,5.0,0.0,5015
16,reference/dram_016_ref.png,search/dram_016_search.png,500.0,500.0,450.0,450.0,550.0,550.0,10.0,0.0,0.8,120.0,8.0,10.0,5016
17,reference/dram_017_ref.png,search/dram_017_search.png,470.0,530.0,420.0,480.0,520.0,580.0,10.0,0.0,1.0,100.0,10.0,10.0,5017
18,reference/dram_018_ref.png,search/dram_018_search.png,530.0,470.0,480.0,420.0,580.0,520.0,10.0,0.0,1.1,90.0,12.0,15.0,5018
19,reference/dram_019_ref.png,search/dram_019_search.png,450.0,550.0,400.0,500.0,500.0,600.0,10.0,0.0,1.2,80.0,14.0,20.0,5019
20,reference/dram_020_ref.png,search/dram_020_search.png,520.0,480.0,470.0,430.0,570.0,530.0,10.0,0.0,1.3,70.0,15.0,20.0,5020
21,reference/dram_021_ref.png,search/dram_021_search.png,354.2605,654.1156,298.4164,598.2715,410.1046,709.9597,9.2,1.6,0.6,160.0,6.0,10.0,5021
22,reference/dram_022_ref.png,search/dram_022_search.png,653.6077,353.7217,600.2674,300.3814,706.948,407.062,9.6,-1.4,0.7,140.0,7.0,10.0,5022
23,reference/dram_023_ref.png,search/dram_023_search.png,306.3963,706.1675,256.833,656.6042,355.9596,755.7308,10.4,1.8,0.8,130.0,8.0,10.0,5023
24,reference/dram_024_ref.png,search/dram_024_search.png,705.8302,306.0359,658.1808,258.3865,753.4795,353.6852,10.8,-1.7,0.9,110.0,10.0,15.0,5024
25,reference/dram_025_ref.png,search/dram_025_search.png,402.1265,602.0617,347.8328,547.7679,456.4203,656.3555,9.4,1.2,0.8,120.0,9.0,10.0,5025
26,reference/dram_026_ref.png,search/dram_026_search.png,210.8868,229.4205,154.1502,172.684,267.6234,286.1571,9.1,1.9,1.1,80.0,12.0,20.0,5026
27,reference/dram_027_ref.png,search/dram_027_search.png,770.5458,789.1458,723.1785,741.7786,817.913,836.513,10.9,-1.9,1.2,75.0,13.0,20.0,5027
28,reference/dram_028_ref.png,search/dram_028_search.png,241.4097,741.14,185.1982,684.9285,297.6211,797.3514,9.2,-2.0,1.2,70.0,14.0,20.0,5028
29,reference/dram_029_ref.png,search/dram_029_search.png,741.14,241.4097,693.2562,193.5259,789.0238,289.2935,10.8,2.0,1.3,65.0,15.0,25.0,5029
30,reference/dram_030_ref.png,search/dram_030_search.png,210.1278,809.7648,153.3912,753.0282,266.8644,866.5013,9.1,1.9,1.4,60.0,16.0,25.0,5030
