sample_id,true_x,true_y,scale_ratio,rotation_deg,noise_level,seed,ref_path,search_path
0,390.34196406149545,567.8810076788226,9.0,-2.0,low,42,data\generated\sample_000_ref.png,data\generated\sample_000_search.png
1,349.8628934170903,592.4938334534362,10.0,-1.0,medium,43,data\generated\sample_001_ref.png,data\generated\sample_001_search.png
2,583.0909090909091,596.9090909090909,11.0,0.0,high,44,data\generated\sample_002_ref.png,data\generated\sample_002_search.png
3,561.2579453486636,584.2770705796501,9.0,1.0,low,45,data\generated\sample_003_ref.png,data\generated\sample_003_search.png
4,568.4636636688774,486.3023083318819,10.0,2.0,medium,46,data\generated\sample_004_ref.png,data\generated\sample_004_search.png
5,514.5097842720942,397.0800517530535,11.0,-2.0,high,47,data\generated\sample_005_ref.png,data\generated\sample_005_search.png
6,571.1984205736845,552.9173100028354,9.0,-1.0,low,48,data\generated\sample_006_ref.png,data\generated\sample_006_search.png
7,594.1,512.7,10.0,0.0,medium,49,data\generated\sample_007_ref.png,data\generated\sample_007_search.png
8,553.3939053350268,605.4478444439125,11.0,1.0,high,50,data\generated\sample_008_ref.png,data\generated\sample_008_search.png
9,426.1303698529363,364.9401825665905,9.0,2.0,low,51,data\generated\sample_009_ref.png,data\generated\sample_009_search.png
10,651.7731955017542,552.1285634483276,10.0,-2.0,medium,52,data\generated\sample_010_ref.png,data\generated\sample_010_search.png
11,676.7841443939972,440.9854114410413,11.0,-1.0,high,53,data\generated\sample_011_ref.png,data\generated\sample_011_search.png
12,495.1111111111111,419.8888888888889,9.0,0.0,low,54,data\generated\sample_012_ref.png,data\generated\sample_012_search.png
13,488.5625040691088,566.7097720490098,10.0,1.0,medium,55,data\generated\sample_013_ref.png,data\generated\sample_013_search.png
14,527.5765620000761,565.5320576788786,11.0,2.0,high,56,data\generated\sample_014_ref.png,data\generated\sample_014_search.png
15,476.1862919107448,535.6350659368507,9.0,-2.0,low,57,data\generated\sample_015_ref.png,data\generated\sample_015_search.png
16,427.8469133282294,508.1419950709857,10.0,-1.0,medium,58,data\generated\sample_016_ref.png,data\generated\sample_016_search.png
17,620.8181818181819,276.72727272727275,11.0,0.0,high,59,data\generated\sample_017_ref.png,data\generated\sample_017_search.png
18,555.9590675530687,490.79975614528877,9.0,1.0,low,60,data\generated\sample_018_ref.png,data\generated\sample_018_search.png
19,425.99177004851805,443.7485831338572,10.0,2.0,medium,61,data\generated\sample_019_ref.png,data\generated\sample_019_search.png
20,492.5672948865911,546.132341271889,11.0,-2.0,high,62,data\generated\sample_020_ref.png,data\generated\sample_020_search.png
21,385.9422979385244,508.6774069040887,9.0,-1.0,low,63,data\generated\sample_021_ref.png,data\generated\sample_021_search.png
22,354.3,435.5,10.0,0.0,medium,64,data\generated\sample_022_ref.png,data\generated\sample_022_search.png
23,442.59888306799024,482.72642950147093,11.0,1.0,high,65,data\generated\sample_023_ref.png,data\generated\sample_023_search.png
24,663.9723712520372,563.2048383388557,9.0,2.0,low,66,data\generated\sample_024_ref.png,data\generated\sample_024_search.png
25,614.4197840810835,472.7766091230679,10.0,-2.0,medium,67,data\generated\sample_025_ref.png,data\generated\sample_025_search.png
26,340.99683169259555,530.0477703210248,11.0,-1.0,high,68,data\generated\sample_026_ref.png,data\generated\sample_026_search.png
27,562.7777777777778,433.44444444444446,9.0,0.0,low,69,data\generated\sample_027_ref.png,data\generated\sample_027_search.png
28,414.7593604372663,315.05948695070595,10.0,1.0,medium,70,data\generated\sample_028_ref.png,data\generated\sample_028_search.png
29,561.7868692151264,498.0242839905761,11.0,2.0,high,71,data\generated\sample_029_ref.png,data\generated\sample_029_search.png
