sample_id,noise_level,scale_ratio_true,scale_ratio_est,rotation_deg_true,rotation_deg_est,true_x,true_y,pred_x,pred_y,error_px,match_score,tie_breaker_applied,runtime_ms,pass_5px,pass_4px,pass_2px,pass_1px,pass_0_5px,figure_path
0,low,9.0,9.0,-2.0,-2.0,390.3419640614954,567.8810076788225,390.3833923339844,567.84130859375,0.05737873401368241,0.5410658717155457,True,26241.323399997782,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_000_vis.png
1,medium,10.0,10.0,-1.0,-1.0,349.8628934170903,592.4938334534362,349.88531494140625,592.5520629882812,0.06239714321123348,0.4185900390148163,True,29718.742400000338,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_001_vis.png
2,high,11.0,11.0,0.0,-1.0,583.0909090909091,596.9090909090909,583.1600952148438,596.8197631835938,0.1129874430527038,0.3052441477775574,True,22304.040500021074,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_002_vis.png
3,low,9.0,9.0,1.0,1.0,561.2579453486636,584.2770705796501,561.2941284179688,584.2831420898438,0.0366889321236335,0.5398765802383423,True,21947.344800049905,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_003_vis.png
4,medium,10.0,10.0,2.0,2.0,568.4636636688774,486.3023083318819,568.3896484375,486.2100524902344,0.11827677199662244,0.41073882579803467,True,20786.6508999723,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_004_vis.png
5,high,11.0,11.0,-2.0,-1.0,514.5097842720942,397.0800517530535,514.5884399414062,397.0931091308594,0.07973211040788283,0.3296583294868469,True,19775.707100052387,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_005_vis.png
6,low,9.0,9.0,-1.0,-1.0,571.1984205736845,552.9173100028354,571.2804565429688,552.8699951171875,0.09470268560222944,0.5255460739135742,True,20612.393799994607,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_006_vis.png
7,medium,10.0,10.0,0.0,-1.0,594.1,512.7,594.1240844726562,512.735107421875,0.0425745568835965,0.3925679922103882,True,22060.85329997586,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_007_vis.png
8,high,11.0,11.0,1.0,1.0,553.3939053350268,605.4478444439125,553.3565673828125,605.4590454101562,0.038981846035739634,0.3479660749435425,True,22272.646699973848,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_008_vis.png
9,low,9.0,9.0,2.0,2.0,426.1303698529363,364.9401825665906,426.23919677734375,364.8454284667969,0.1442970509182166,0.5365327000617981,True,20835.94219997758,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_009_vis.png
10,medium,10.0,10.0,-2.0,-2.0,651.7731955017541,552.1285634483276,651.7854614257812,552.10546875,0.026149913634277034,0.42158254981040955,True,20143.00420001382,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_010_vis.png
11,high,11.0,11.0,-1.0,-1.0,676.7841443939972,440.9854114410413,676.7278442382812,441.066162109375,0.09843971744154996,0.32616472244262695,True,21208.81860004738,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_011_vis.png
12,low,9.0,9.0,0.0,-0.5,495.1111111111111,419.8888888888889,495.16717529296875,419.8945617675781,0.056350457318390425,0.5158206820487976,True,22836.214800016023,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_012_vis.png
13,medium,10.0,10.0,1.0,1.0,488.5625040691088,566.7097720490099,488.6221618652344,566.7162475585938,0.06000820662985925,0.40275827050209045,True,28795.03660002956,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_013_vis.png
14,high,11.0,11.0,2.0,1.0,527.5765620000761,565.5320576788786,527.6742553710938,565.2979125976562,0.25370832426507633,0.29686036705970764,True,30225.169000041205,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_014_vis.png
15,low,9.0,9.0,-2.0,-2.0,476.1862919107448,535.6350659368507,476.2262878417969,535.6133422851562,0.0455147398505494,0.5469942092895508,True,30609.379499976058,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_015_vis.png
16,medium,10.0,10.0,-1.0,-1.0,427.84691332822945,508.1419950709856,427.8636169433594,508.0815734863281,0.0626879466160042,0.4592033326625824,True,32114.693799987435,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_016_vis.png
17,high,11.0,11.0,0.0,1.0,620.8181818181819,276.72727272727275,620.8423461914062,276.6900939941406,0.044341573389278334,0.3293742537498474,True,33177.06419999013,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_017_vis.png
18,low,9.0,9.0,1.0,1.0,555.9590675530686,490.79975614528877,555.956787109375,490.7417907714844,0.05801021447747622,0.5280019044876099,True,26126.73050002195,True,True,True,True,True,D:\SemiconFINFETwork\results\reports\figures\dram30_sample_018_vis.png
