sample_id,true_x,true_y,pred_x,pred_y,error_px,scale_ratio_true,scale_ratio_est,rotation_deg_true,rotation_deg_est,noise_level,match_score,tie_breaker_applied,runtime_ms,failure_plot
0,390.34196406149545,567.8810076788226,389.4555358886719,594.516845703125,26.650583899090275,9.0,9.0,-2.0,-2.0,low,0.6084609031677246,True,11023.428000044078,results\failures\failure_sample_000.png
1,349.8628934170903,592.4938334534362,349.7410888671875,592.3327026367188,0.2019888325453887,10.0,10.25,-1.0,-1.0,medium,0.4641587734222412,True,13387.751400005072,
2,583.0909090909091,596.9090909090909,466.6260070800781,909.5596923828125,333.63823522233236,11.0,11.0,0.0,1.0,high,0.17941820621490479,True,12302.186300046742,results\failures\failure_sample_002.png
3,561.2579453486636,584.2770705796501,559.5048828125,486.5102844238281,97.78250203126281,9.0,9.0,1.0,1.0,low,0.6076736450195312,True,10475.621800054796,results\failures\failure_sample_003.png
4,568.4636636688774,486.3023083318819,568.5814819335938,486.18353271484375,0.16729850777444324,10.0,10.0,2.0,2.0,medium,0.5023893713951111,True,15865.12940004468,
5,514.5097842720942,397.0800517530535,587.5780639648438,181.36676025390625,227.75249203170964,11.0,11.0,-2.0,-2.0,high,0.17484989762306213,True,10530.832100077532,results\failures\failure_sample_005.png
6,571.1984205736845,552.9173100028354,570.623291015625,588.4603881835938,35.547731018618535,9.0,9.0,-1.0,-1.0,low,0.6063736081123352,True,10403.249299968593,results\failures\failure_sample_006.png
7,594.1,512.7,594.08935546875,496.8677978515625,15.832205726778438,10.0,10.0,0.0,-0.5,medium,0.4644959568977356,True,12237.424499937333,results\failures\failure_sample_007.png
8,553.3939053350268,605.4478444439125,732.70849609375,449.4403076171875,237.68061344104257,11.0,11.0,1.0,1.0,high,0.172444686293602,True,10264.952500001527,results\failures\failure_sample_008.png
9,426.1303698529363,364.9401825665905,470.5242614746094,363.4194030761719,44.41993227792373,9.0,9.0,2.0,2.0,low,0.6290327310562134,True,9727.472799946554,results\failures\failure_sample_009.png
10,651.7731955017542,552.1285634483276,651.7018432617188,552.2077026367188,0.10655586937047612,10.0,10.0,-2.0,-2.0,medium,0.4827686548233032,True,11848.441599984653,
11,676.7841443939972,440.9854114410413,679.5060424804688,295.6341552734375,145.3767395379795,11.0,11.0,-1.0,-1.0,high,0.29441481828689575,True,8633.336500031874,results\failures\failure_sample_011.png
12,495.1111111111111,419.8888888888889,157.3668975830078,197.63990783691406,404.30899489172646,9.0,9.0,0.0,-0.5,low,0.6034940481185913,True,12588.26750004664,results\failures\failure_sample_012.png
13,488.5625040691088,566.7097720490098,192.74461364746094,571.9884643554688,295.8649842174304,10.0,10.0,1.0,1.0,medium,0.5039982795715332,True,12504.238299909048,results\failures\failure_sample_013.png
14,527.5765620000761,565.5320576788786,548.8157348632812,564.7352905273438,21.254112585729693,11.0,11.0,2.0,2.0,high,0.24159172177314758,True,11004.18690009974,results\failures\failure_sample_014.png
15,476.1862919107448,535.6350659368507,215.49191284179688,615.46875,272.64441382364515,9.0,9.0,-2.0,-2.0,low,0.6141685247421265,True,11974.013799917884,results\failures\failure_sample_015.png
16,427.8469133282294,508.1419950709857,427.9485778808594,508.084716796875,0.11668968226262368,10.0,10.0,-1.0,-1.0,medium,0.5012794137001038,True,10457.7117000008,
17,620.8181818181819,276.72727272727275,620.6835327148438,640.2886352539062,363.5613874610494,11.0,11.0,0.0,1.0,high,0.2860410213470459,True,9661.584899993613,results\failures\failure_sample_017.png
18,555.9590675530687,490.7997561452888,680.376953125,488.58807373046875,124.43754171990945,9.0,9.0,1.0,1.0,low,0.6063640713691711,True,10662.596700014547,results\failures\failure_sample_018.png
19,425.9917700485181,443.7485831338572,498.055419921875,441.1518249511719,72.11042078735302,10.0,10.0,2.0,2.0,medium,0.48396241664886475,True,11497.552699991502,results\failures\failure_sample_019.png
20,492.5672948865911,546.132341271889,448.71441650390625,544.5419921875,43.88170635534548,11.0,11.0,-2.0,-2.0,high,0.24561807513237,True,11363.226999994367,results\failures\failure_sample_020.png
21,385.9422979385244,508.6774069040887,629.4569702148438,308.4684143066406,315.25075151493013,9.0,9.0,-1.0,-1.0,low,0.6172736287117004,True,14902.966299909167,results\failures\failure_sample_021.png
22,354.3,435.5,354.1144714355469,443.42840576171875,7.930576194116233,10.0,10.0,0.0,0.5,medium,0.47491687536239624,True,11397.76790002361,results\failures\failure_sample_022.png
23,442.59888306799024,482.7264295014709,294.1746826171875,303.61151123046875,232.61964067268232,11.0,11.0,1.0,1.0,high,0.1782781183719635,True,9284.358900040388,results\failures\failure_sample_023.png
24,663.9723712520372,563.2048383388557,665.4942626953125,607.598876953125,44.42011726740882,9.0,9.0,2.0,2.0,low,0.5962858200073242,True,9681.069599930197,results\failures\failure_sample_024.png
25,614.4197840810835,472.7766091230679,614.9639282226562,456.9208984375,15.86504504220645,10.0,10.0,-2.0,-2.0,medium,0.49618756771087646,True,10216.744200093672,results\failures\failure_sample_025.png
